abdome 	parte do corpo situada entre o tórax e a pelve; barriga
fratura expor 	quando  o osso quebrado rompe os músculos e a pele
fratura óssea 	quebra do osso em um ou mais pedaços
freezing 	congelamento da caminhada, como se a pessoa estivesse colada ao chão temporariamente
frequência cardíaca 	velocidade do ciclo cardíaco medida pelo número de contrações do coração por minuto
frequência de passar 	velocidade com que se dá os passos
função hepática 	funcionamento do fígado
função metabólica 	reações químicas que acontecem nas células do nosso corpo e que transformam os alimentos em energia
funções vital 	funções necessárias para manter a vida, como nutrição (alimentação, circulação, excreção, respiração), reprodução e relação com o meio
fuso neuromuscular 	pequenas estruturas em forma de fuso situadas nos ventres dos músculos estriados esqueléticos, que controlam o tônus muscular
gaba 	neurotransmissor que regula a agitação cerebral por meio da inibição do disparo excessivo dos neurônios, o que leva a uma sensação de calma; o mesmo que GABA
gânglio 	pequenas glândulas que têm a função de defefnder o organismo, controlando infefções
gânglios de o base 	estruturas localizadas no cérebro responsáveis pelo movimento; os gânnglios da base ajudam a planejar e executar movimentos complexos; lesões nos gânglios da base podem causar rigidez, tremores e paralisia
glânglios linfático 	pequenas glândulas que têm a função de defefnder o organismo, controlando infefções; o mesmo que linfonodo
gangrena 	morte dos tecidos associada a diferentes fatores, mas principalmente à falta de irrigação sanguínea
gasto energético 	gasto de energia
gastrite 	inflamação do estômago
gastrodinia 	dor no estômago
gastropatia 	doença do estômago
gene 	segmento de uma molécula de DNA (*Ver DNA no glossário) responsável pelas características herdadas geneticamente
gene supressor 	gene que reduz a probabilidade de uma célula se tornar um tumor, pois retarda a divisão celular, repara erros do DNA ou indica quando as células devem morrer, impedindo a proliferação descontrolada das células
gênese 	origem e desenvolvimento dos seres
genética 	ciência que estuda a transmissão das características hereditárias ao longo das gerações. O que passa de pai/mãe para filho(a), hereditário.
genótipo 	composição genética elementar de um organismo; são às características internas de um indivíduo, características passadas dos pais para os filhos
gengivite 	inflamação nas gengivas
genitália 	órgãos sexuais internos e externos tanto no homem quanto na mulher
genoma 	informação genética total de uma célula ou organismo vivo; uma célula humana contém dois genomas, um materno e outro paterno
germe 	organismos microscópicos, como bactérias, fungos, vírus, parasitas etc. que podem causar doenças se entrarem no hospedeiro
geriatria	ramo da medicina que foca o estudo, a prevenção e o tratamento de doenças e da incapacidade em idades avançadas
gerontologia 	estudo dos fenômenos fisiológicos, psicológicos e sociais relacionados ao envelhecimento do ser humano
gerontológica 	relativo à Gerontologia (*Ver Gerontologia no glossário)
gh 	hormônio do crescimento (do inglês Growth Hormone)
glândula 	estruturas responsáveis pela síntese (produção) e secreção de substâncias
glândula adrenal 	estruturas que produzem e lançam no sangue substâncias reguladoras denominadas hormônios; o mesmo que glândula suprarrenal
glândula digestivo 	órgãos do corpo humano que sintetizam e liberam algumas substâncias para atuar no processo de digestão de alimentos; o fígado é um exemplo de glândula digestiva
glândula endócrina 	estruturas que produzem e lançam no sangue substâncias reguladoras denominadas hormônios
glândula hipófise 	localizada na base do crânio, é considerada a “glândula-mestre”, pois produz vários hormônios que regulam o funcionamento do nosso corpo
glândula lacrimal 	pequena estrutura em forma de amêndoa que produz lágrimas e está localizada logo acima do canto externo superior do olho
glândula salivar 	estruturas localizadas na cavidade bucal, que produzem saliva para lubrificar a boca e a garganta
glândula sebácea 	estruturas localizadas nos pelos em todas as regiões do corpo, produzem e liberam um óleo que lubrifica e protege a pele
glândula sudorípara 	glândulas sob a superfície da pele que produzem suor, grande parte delas localiza-se na fronte, nas axilas, na palma das mãos e na planta dos pés
glândula suprarrenal 	estruturas que produzem e lançam no sangue substâncias reguladoras chamadas hormônios; o mesmo que glândula adrenal
glândula tireoide 	glândula localizada na parte anterior do pescoço, é uma das maiores grândulas do corpo e age na função de órgãos importantes como o coração, cérebro, fígado e rins, além de interferir em várias outras funções como o crescimento das crianças e adolescentes, ciclo menstrual da mulher e muito mais
glaucoma 	grupo de doenças oculares que aumentam a pressão intraocular e podem causar cegueira
glicemia 	açúcar no sangue
glicose 	açúcar
glicosúria 	açúcar na urina
glioblastoma multiforme 	tumor cerebral mais comum
globo pálido 	estrutura formada por células nervosas localizada no cérebro que afeta os movimentos, equilíbrio e a caminhada.
glóbulos branco 	céulas que atuam na defesa do organismo (sistema imunológico) agindo contra infecções e outras doenças; o mesmo que leucócitos
glóbulos vermelho 	células sanguíneas que exercem importante papel na oxigenação dos tecidos, sendo também responsáveis pela cor vermelha do sangue; o mesmo que hemácias ou eritrócitos,
glossalgia 	dor na língua
gluconato de clorexidina 	substância para bochecho, usada para combater infecções
glutamato 	*sem definição
gocovri 	marca de medicamento (amantadina) utilizado no tratamento da Doença de Parkinson e outras doenças  
grupo controlo 	grupo de pessoas que, em um estudo epidemiológico ou teste clínico, não tem a doença a ser estudada ou não é submetida ao tratamento testado; esse grupo é o que toma placebo
grupo controlo 	grupo de pessoas que, em um estudo epidemiológico ou teste clínico, não tem a doença a ser estudada ou não é submetida ao tratamento testado; esse grupo é o que toma placebo
grupo de controlo 	grupo de pessoas que, em um estudo epidemiológico ou teste clínico, não tem a doença a ser estudada ou não é submetida ao tratamento testado; esse grupo é o que toma placebo
grupo de apoio de o idoso 	grupo que promove ações que visam à melhoria da qualidade de vida dos idosos
grupo de risco 	pessoas ou grupos de pessoas sujeitas a fatores (características biológicas e/ou socioculturais) que aumentam a propensão de desenvolverem determinadas doenças
halitose 	mau hálito
hemácias 	células sanguíneas que exercem importante papel na oxigenação dos tecidos, sendo também responsáveis pela cor vermelha do sangue; o mesmo que eritrócitos ou glóbulos vermelhos
hematemese 	vômito de sangue com origem no sistema gastrointestinal
hematologia 	estudo do sangue
hematológico 	referente ao sanngue
hematologista 	médico que estuda e trata das doenças do sangue
hematoma 	acúmulo de sangue em um órgão ou tecido após uma hemorragia 
hematoma subdural agudo 	acúmulo de sangue entre o cérebro e seu revestimento externo
hematúria 	sangue na urina
hemialgia 	dor principalmente na cabeça com intensidade que varia; também conhecida como enxaqueca
hemianopsia 	perda de metade do campo visual
hemibalismo 	movimentos involuntários e bruscos dos membros, de grande amplitude, apenas de um lado do corpo, podendo também ocorrer no tronco e na cabeça; a causa mais comum é o AVC; o mesmo que hemicoreia
hemicoreia 	movimentos involuntários e bruscos dos membros, de grande amplitude, apenas de um lado do corpo, podendo também ocorrer no tronco e na cabeça; a causa mais comum é o derrame; o mesmo que hemibalismo
hemicrânia paroxística 	crises de dores de cabeça primárias caracterizadas por dor aguda, estritamente unilateral, com duração de 2 a 30 minutos e que ocorrem várias vezes por dia
hemiatrofia 	atrofia de metade do corpo ou de uma parte do corpo; atrofia de metade da cara ou atrofia progressiva de metade da língua
hemiparesia 	fraqueza muscular total ou parcial em uma metade do corpo devido a lesão encefálica
hemiplegia 	paralisia de um lado do corpo
hemisfério cerebral direito 	lado direito do cérebro,  dominante para habilidades espaciais, reconhecimento de faces, visualização mental e música
hemisfério cerebral esquerdo 	lado esquerdo do cérebro, dominante para habilidades de linguagem, matemática e lógica
hemisfério direito 	lado direito do cérebro,  dominante para habilidades espaciais, reconhecimento de faces, visualização mental e música
hemisfério esquerdo 	lado esquerdo do cérebro, dominante para habilidades de linguagem, matemática e lógica
hemisférios cerebral 	lado direito e lado esquerdo do cérebro
hemodiálise 	tratamento que usa uma máquina renal artificial que filtra as toxinas do sangue
hemoglobina 	componente dos glóbulos vermelhos do sangue que tem como principal função transportar oxigênio para os tecidos.; baixos níveis de hemoglobina podem indicar anemia
hemograma 	exame que avalia as células que compôem o sangue, podendo indicar se a pessoa tem doenças como anemia, infecções ou leucemia
hemorragia 	sangramento anormal e em grande quantidade
hepatite 	inflamação do fígado causada por diferentes agentes infecciosos
hepatoesplenomegalia 	aumento do baço e do fígado
hepatotoxidade 	dano no fígado causado por substâncias químicas chamadas hepatotoxinas
hepatotoxina 	qualquer substância tóxica capaz de prejudicar o fígado
herança autossômica dominante 	a pesquisar
herança autossômica recessivo 	a pesquisar
herança genética 	propriedades dos seres vivos de transmitirem suas características aos seus descendentes
herança mendeliano 	a pesquisar
herbicida 	produto químico utilizado na agricultura para o controle de ervas daninhas
hereditariedade 	fenômeno em que os genes e as características dos pais são transmitidas aos seus descendentes
hereditariedade mendeliano 	a pesquisar
hereditário 	 que passa de pais para filhos(as)
heredodegeneração 	processo degenerativo e hereditário
hérnia 	saliência de um órgão ou parte dele através da parede que o contém; podem aparecer em diferentes regiões do corpo
hidrocefalia 	aumento anormal de líquido dentro da cavidade craniana
hidropenia 	deficiência de água no corpo (desidratação)
hiperatividade 	estado excessivo de energia, que pode ser motora (física, muscular) ou mental (intenso fluxo de pensamentos)
hipercalcemia 	condição em que o nível de cálcio no sangue é maior do que o normal
hipercinesia 	movimentos involuntários anormais, movimento excessivo ou hiperatividade
hipercinético 	relativo a movimentos anormais ou hiperatividade 
hiperêmese 	vômito excessivo
hiperestesia 	aumento da sensibilidade dos diferentes sentidos
hiperglicemia 	níveis elevados de açúcar no sangue
hiperplasia 	aumento benigno do número de células em um órgrão ou tecido
hiperplasia prostática 	próstata aumentada, o que pode causar dificuldades para urinar
hiperreflexia 	aumento dos reflexos dos músculos e tendões
hipersexualidade 	obsessão com pensamentos, impulsos ou comportamentos sexuais que podem causar sofrimento ou afetar negativamente a saúde, o trabalho ou os relacionamentos
hipertensão 	pressão arterial alta
hipertensão arterial sistêmica 	pressão arterial alta
hipertensão pulmonar 	aumento das pressões dos vasos do pulmão
hipertenso 	indivíduo com pressão alta
hipertireoidismo 	quando a glândula tireoide (*Ver glândula tireoide no glossário) produz hormônios em excesso
hipertonia 	aumento do tônus muscular
hipertropia 	aumento do tecido devido ao aumento da célula
hiperventilação 	aumento da ventilação dos pulmões além das necessidades normais do corpo
hipoatitvidade 	diminuição da atividade ou do interesse por derterminada(s) atividade(s)
hipocalcemia 	condição em que o sangue apresenta quantidade insuficiente de cálcio
hipocampo 	parte do cérebro responsável pelo aprendizado e memória; o hipocampo é importante para a formação de novas memórias
hipocinesia 	sintoma médico caracterizado por uma redução na capacidade de se movimentar
hipoestesia 	diminuição da sensibilidade dos diferentes sentidos
hipófise 	glândula localizada na base do crânio, considerada a “glândula-mestre”, pois produz vários hormônios que regulam o funcionamento do nosso corpo
hipofonia 	redução do volume da voz
hipoglicemia 	diminuição do açúcar no sangue
hipomimia 	redução ou ausência de expressões faciais e da capacidade de gesticulação
hipoquinesia 	movimento muscular lento ou reduzido
hiporreflexia 	diminuição dos reflexos dos músculos e tendões
hiposmia 	perda do olfato
hipossalivação 	falta de saliva
hipotálamo 	estrutura localizada no diencéfalo relacionada com a emoção e o comportamento
hipotensão 	pressão arterial baixa
hipotensão ortostática 	tontura ao levantar (ficar de pé) porque a pressão cai
hipotensão postural 	tontura ao levantar (ficar de pé) porque a pressão cai
hipotenso 	indivíduo com pressão baixa
hipotireoidismo 	quando a glândula tireoide produz hormônios em excesso
hipotonia 	diminuição do tônus muscular
hipoxemia 	deficiência de oxigênio contido no sangue
hipoxia 	ausência de oxigênio suficiente nos tecidos para manter as funções corporais
histerectomia 	cirurgia que remove parte ou a totalidade do útero
histerectomia abdominal 	cirurgia que remove o útero ou parte dele por meio de um corte no abdômem
histologia 	estuda o corpo microscopicamente, as estruturas minúsculas e sua composição, além das funções das células  normais, tecidos e órgãos
histológico 	relativo à histologia (*Ver histologia no glossário)
histopatologia 	estudo de como uma doença específica afeta um conjunto de células
histopatológico 	relativo à histopatologia (Ver histopatologia no glossário)
holístico 	abordagem de uma situação que busca entender os diferentes fatores a produziem, na sua totalidade e globalidade
holocraniano 	que abrange todo o crânio
homostasia 	procedimentos que têm por finalidade conter sangramentos
hormônio 	substâncias que regulam o funcionamento de diversas funções do nosso organismo
idiopático 	sem causa conhecida
implante dentário 	suportes de metal posicionados cirurgicamente no osso maxilar, abaixo da gengiva, para substituir as raízes dentárias; isso permite que o dentista monte dentes substitutos sobre eles
impotência sexual 	se refere a qualquer condição ou sintoma que prejudique a vida sexual do indivíduo
imune 	estar livre ou protegido de uma doença ou condição
imunidade 	sistema de defesa do organismo; é um conjunto de mecanismos que defendem o corpo de agentes infecciosos invasores
imunoglobulina 	proteínas que tem como principal função a defesa do organismo; o mesmo que anticorpos
imunologia 	ramo da biologia que estuda os fenômenos, a organização e o funcionamento do sistema imunológico
imunológico 	relativo à imunidade (*Ver imunidade no glossário)
imunossupressor 	 medicamentos usados para evitar a rejeição do órgão transplantado
inapetência 	falta de apetite
incapacitar 	pessoa privada de condições físicas e/ou psicológicas para realizar determinadas tarefas
incapacitante 	aquilo que incapacita; uma doença incapacitante deixa a pessoa incapaz de realizar suas atividades normais do dia a dia 
incidência 	número de casos de uma doença (ou grupo de doenças) numa população definida durante um intervalo de tempo específico
incisão 	corte geralmente realizado por um médico cirurgião com o objetivo de permitir o acesso a área a ser operada
inclusões intraneuronal 	estruturas que se formam dentro dos neurônios
incontinência de urgência 	vontade forte e repentina de urinar, ocasionada por espasmos ou contrações na bexiga e com eventuais vazamentos de urina antes de a pessoa conseguir chegar ao banheiro
incontinência fecal 	incapacidade de controlar a eliminação das fezes
incontinência urinária 	perda de controle da bexiga, variando de uma ligeira perda de urina após espirrar, tossir ou rir até a total incapacidade de controlar a micção
índice de apgar 	numeração que expressa a condição de uma criança recém-nascida a um minuto do nascimento e novamente depois de cinco minutos
índice de lawton 	mede a capacidade dos idosos de realizarem atividades mais complexas que as atividades básicas da vida diária; o mesmo que escala de Lawton
índice glicêmico 	mede o tempo que o carboidrato de um alimento demora para ser absorvido pelo intestino
infarte 	ocorre quando o fluxo de sangue deixa de chegar ao miocárdio (músculo cardíaco), fazendo com que esse músculo seja danificado ou morra; ataque do coração 
infarto 	ocorre quando o fluxo de sangue deixa de chegar ao miocárdio (músculo cardíaco), fazendo com que esse músculo seja danificado ou morra; ataque do coração 
infarto de o miocárdio 	ocorre quando o fluxo de sangue deixa de chegar ao miocárdio (músculo cardíaco), fazendo com que esse músculo seja danificado ou morra; ataque do coração 
infecção 	entrada e o desenvolvimento de um agente infeccioso (bactérias, vírus, entre outros) no organismo ou a multiplicação de um desses agentes já presente
infecção endêmica 	presença contínua de uma doença ou de um agente infeccioso em uma zona geográfica determinada
infecção urinária 	infecção causada quando bactérias presentes no nosso corpo, como entre o ânus e a vagina, migram para a bexiga, podendo chegar até os rins, causado dor e ardência para urinar; a infecção é mais leve quando fica na bexiga podendo ficar grave quando chega aos rins
infeccioso 	que causa ou que resulta de infecção
infectologia 	especialidade médica que se ocupa do estudo das doenças causadas por diversos patógenos como vírus, bactérias, protozoários, fungos e outros animais
infectologista 	médico que se ocupa do estudo das doenças causadas por diversos patógenos como vírus, bactérias, protozoários, fungos e outros animais
inflamação 	reação de defesa do organismo frente a uma agressão, que pode vir de agentes físicos (cortes, contusões, queimaduras), químicos (agentes irritantes, corrosivos etc.) e biológicos (infecções em geral causadas por vírus, bactérias etc.)
inflamatório 	que causa inflamação (*Ver inflamação no glossário)
informação tóxico farmacológica 	a pesquisar
infraumbilical 	situado abaixo do umbigo
infusão 	introduzir fluido na veia ou no tecido
inibidor 	elementos capazes de diminur ou suprimir a atividade de uma substância
insidioso	traiçoeiro, que se esconde e depois reaparece
insônia 	dificuldade para pegar no sono e/ou continuar dormindo
instabilidade postural 	dificuldade para manter a postura (tendência de cair para a frente e para trás)
insuficiência cardíaca 	quando o coração não consegue bombear a quantidade de sangue necessária para o corpo
insuficiência renal 	problema com o funcionamento dos rins
insulina 	hormônio que regula a quantidade de glicose no sangue
interação medicamentoso 	quando há uso de vários medicamentos juntos e um pode interferir sobre o outro
intercostal 	entre as costelas
internação hospitalar 	pacientes que são admitidos para ocupar um leito hospitalar por um período igual ou superior a 24 horas
intestino 	órgão em forma de tubo que se estende desde o final do estômago até ao ânus, permitindo a passagem dos alimentos digeridos, facilitando a absorção dos nutrientes e a eliminação dos resíduos
intestino delgar 	primeira porção do intestino, que liga o estômago ao intestino grosso, e a mais comprida, onde ocorre a a absorção de parte da água e da maior parte dos nutrientes
intestino grosso 	segunda porção do intestino e a menor, mas a mais importante na absorção da água, já que é aqui que mais de 60% da água é absorvida para o corpo
intraçar 	dentro da célula
intracraniano 	dentro do crânio
intramuscular 	dentro do músculo
intratável 	que não tem tratamento
intravenoso 	injeção por agulha ou catéter dentro das veias; o mesmo que endovenoso
intolerância a o lactose 	incapacidade do organismo de digerir o açúcar presente no leite, a lactose, causando sintomas como cólica, gases e diarreia, que surgem momentos após a ingestão deste alimento
intolerância a o glúten 	incapacidade ou dificuldade de digestão do glúten, que é uma proteína presente no trigo, no centeio e na cevada; nessas pessoas o glúten danifica as paredes do intestino delgado, provocando diarreia, dor e inchaço abdominal, além de dificultar a absorção de nutrientes
intolerância a o medicamento 	quando o organismo da pessoa não aceita bem o medicamento e ela passa mal, podendo apresentar vômito, diarreia e/ou dor de cabeça; em casos mais graves pode ter uma reação alérgica ao medicamento
intolerância medicamentoso 	quando o organismo da pessoa não aceita bem o medicamento e ela passa mal, podendo apresentar vômito, diarreia e/ou dor de cabeça; em casos mais graves pode ter uma reação alérgica ao medicamento
íntrons 	regiões do DNA que não codificam poteínas
intubar 	colocar tubo ou sonda no paciente; o mesmo que entubar
intubação 	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a ventilar (respirar por ventilação mecânica); o mesmo que entubação
intubação orotraqueal 	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a ventilar (respirar por ventilação mecânica); o mesmo que entubação
intubação traqueal 	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a ventilar (respirar por ventilação mecânica); o mesmo que entubação
intubação endrotraqueal 	procedimento em que o médico insere um tubo na traqueia para ajudar o paciente a ventilar (respirar por ventilação mecânica); o mesmo que entubação
ipdm 	Instabilidade Postural e Dificuldade na Marcha (desequilíbrio e dificuldade para caminhar)
íris 	parte mais visível (e colorida) do olho, e tem como função principal controlar os níveis de luz
isquemia cardíaca 	condição caracterizada pela diminuição da passagem de sangue pelas artérias coronárias, que são os vasos que levam sangue ao coração; geralmente, é causada pela presença de placas de gordura em seu interior, que quando não são devidamente tratadas, podem romper e entupir o vaso, causando dor e aumentando as chances de infarto; o mesmo que isquemia do miocárdio
isquemia cerebral 	quando há diminuição ou ausência de fluxo sanguíneo para o cérebro, diminuindo a quantidade de oxigênio que chega ao cérebro; o mesmo que AVC isquêmico
isquemia de o miocárdio 	condição caracterizada pela diminuição da passagem de sangue pelas artérias coronárias, que são os vasos que levam sangue ao coração; geralmente, é causada pela presença de placas de gordura em seu interior, que quando não são devidamente tratadas, podem romper e entupir o vaso, causando dor e aumentando as chances de infarto; o mesmo que isquemia do cardíaca
isquemia 	falta de fornecimento de sangue para um órgão ou tecido do corpo
jejum 	privação de comida ou redução das refeições diárias a uma só durante um período
janela imunológica 	período entre o contato com o agente infeccioso e o tempo que o organismo leva para produzir quantidade suficiente de anticorpos contra a infecção capazes de serem identificadas nos exames laboratoriais
joelho fletido 	joelho(s) inclinado(s)
lacrimal 	relativo à lágrima
lacrimejamento 	abundância de lágrimas nos olhos
labirinto 	estrutura da orelha interna constituída pela cóclea (responsável pela audição) e pelo vestíbulo e canais semicirculares (responsáveis pelo equilíbrio)
labirintite 	infecção ou inflamação de uma estrutura interna da orelha, o labirinto, que é responsável pela audição e pelo equilíbrio do corpo
laparotomia 	técnica cirúrgica que faz um corte no abdômem para ter acesso aos órgãos internos da região
lapso de memória 	falhas na memória; esquecimento
laringe 	órgão localizado na região da garganta, entre a traqueia e a base da língua, tem função respiratória e fonatória (produzir som)
laxante 	medicamento ou substância que estimula o movimento e a eliminação das fezes
laxativo 	medicamento ou substância que estimula o movimento e a eliminação das fezes
lesão 	ferimento, machucado
letalidade 	proporção entre o número de mortes por uma doença e o número total de doentes que sofrem dessa doença, ao longo de um determinado período de tempo
letargia 	estado de cansaço que envolve diminuição da energia, da capacidade mental e da motivação
leucemia 	tipo de câncer que afeta as células brancas do sangue, também conhecidas como leucócitos, que são as células de defesa do organismo
leucócitos 	células brancas do corpo; atuam na defesa do organismo (sistema imunológico) agindo contra infecções, doenças, alergias, resfriados; o mesmo que glóbulos brancos
leucopenia 	diminuição na contagem de glóbulos brancos (leucócitos); queda do número de células de defesa do sangue abaixo do normal
levodopa 	medicamento que aumenta a quantidade de dopamina no corpo humano. Ver dopamina no glossário.
ligamento 	tecido conectivo que liga ossos a outros ossos
linfócitos 	tipo de célula de defesa imediata do organismo, atuando contra células canceríginas e infecções virais; fazem parte dos glóbulos brancos
linfoma 	tipo de câncer que afeta os linfócitos, que são células responsáveis por proteger o corpo de infecções e doenças
linfonodo 	pequenas glândulas que têm a função de defefnder o organismo, controlando infefções; o mesmo que glânglio linfático
líquido cefalorraquidiano 	líquido que banha o cérebro e a medula espinhal; o mesmo que liquor e líquido cérebro-espinal
líquido cérebro espinal 	líquido que banha o cérebro e a medula espinhal; o mesmo que liquor e líquido cefalorraquidiano
líquor 	líquido que banha o cérebro e a medula espinhal; o mesmo que líquido cérebro-espinal e líquido cefalorraquidiano
lipídeo 	moléculas orgânicas importantes para os seres vivos e que funcionam como reserva energética, isolante térmico, impermeabilizante, entre outras funções
lipídio 	moléculas orgânicas importantes para os seres vivos e que funcionam como reserva energética, isolante térmico, impermeabilizante, entre outras funções
lobo frontal 	parte do cérebro responsável pela coordenação motora voluntária, pela coordenação muscular, pelos movimentos rítmicos da cabeça e do pescoço e pelas funções da linguagem 
lóbulo frontal 	parte do cérebro responsável pela coordenação motora voluntária, pela coordenação muscular, pelos movimentos rítmicos da cabeça e do pescoço e pelas funções da linguagem 
lobo occipital 	parte do cérebro responsável pelos processos de percepção e reconhecimento visual; diretamente ligado ao nosso sentido da visão; o mesmo que córtex visual
lóbulo occipital 	parte do cérebro responsável pelos processos de percepção e reconhecimento visual; diretamente ligado ao nosso sentido da visão; o mesmo que córtex visual
lobo parietal 	parte do cérebro responsável por processar as sensações, as memórias e a orientação espacial; passa boa parte das infofrmações para as outras regiões do cérebro 
lóbulo parietal 	parte do cérebro responsável por processar as sensações, as memórias e a orientação espacial; passa boa parte das infofrmações para as outras regiões do cérebro 
lobo temporal 	partes laterais do cérebro, responsáveis por várias funções, como reconhecer rostos, articular a linguagem, compreender sons, manter o equilíbrio e regular as emoções (motivação, raiva, ansiedade, prazer, etc.)
lóbulo temporal 	localizados dos dois lados do cérebro, são responsáveis por várias funções, como reconhecer rostos, articular a linguagem, compreender sons, manter o equilíbrio e regular as emoções (motivação, raiva, ansiedade, prazer etc.)
lombalgia 	dor da região lombar da coluna
lombar 	fica localizada na região inferior da coluna
lrrk2 	gene considerado pelos especialistas como uma das causas mais comuns da Doença de Parkinson
luxação 	lesão em que uma articulação (extremidade dos ossos) é deslocada da posição normal, provocando dor intensa, limitação nos movimentos, inchaços e hematomas
macrogol 	também conhecido como polietilenoglicol, medicamento para tratar a constipação em crianças e adultos
macroscópico 	grande o suficiente para ver a olho nu
magnésio 	mineral encontrado em diversos alimentos como sementes, amendoim e leite, e desempenha várias funções no organismo, como regular o funcionamento dos nervos e dos músculos e ajudar no controle do açúcar no sangue
mal de alzheimer 	denominação a ser evitada por poder causar preconceito ou discriminação. Usar Doença de Alzheimer ou só Alzheimer.
mal de parkinson 	denominação a ser evitada por poder causar preconceito ou discriminação. Usar Doença de Parkinson. *Ver Doença de Parkinson no glossário.
malformação congênita 	defeito de nascença, transmitido pelos  pais ou produzido por algo no meio ambiente durante a gravidez
mandíbula 	componente móvel do crânio que forma a parte inferior da cabeça; o mesmo que maxilar inferior
manifestações clínicas 	conjunto de sinais e sintomas presentes em uma determinada doença
manobra de valsava 	realizada ao se exalar o ar forçadamente contra os lábios fechados e o nariz tapado, forçando o ar em direção ao ouvido
manômetro 	instrumento usado para medir a pressão de gases e líquidos
marcar passo 	sistema, inserido por cirurgia dentro do corpo, que envia impulsos elétricos ao coração para regular o seu ritmo
marcha 	movimento da caminhada de uma pessoa
marcha patológica 	movimento anormal da caminhada de uma pessoa
máscara parkisoniana 	sintoma de doenças como Parkinson entre outras. fisionomia inexpressiva, mímica facial diminuída; olhar parado, vago e fixo
massa branco 	parte do cérebro que é ativada quando a pessoa quer fazer algo
massa cinzento 	parte do cérebro que coordena as atividades dos músculos da pessoa; o mesmo que substância cinzenta
mastigação 	ato de triturar o alimento com os dentes
material genético 	conjunto de genes de um organismo vivo
medicação 	remédio
medicalização 	processo em que o modo de vida dos homens é apropriado pela medicina e que interfere na construção de conceitos, regras de higiene, normas de moral e costumes
medicamento de uso contínuo 	medicamento que a pessoa não pode nunca parar de tomar
medicamento genérico 	medicamento com a mesma substância ativa, forma farmacêutica e dosagem e com a mesma indicação que o medicamento original, de referência, sem o nome de fantasia
medula adrenal 	a pesquisar
medula espinal 	responsável por conduzir impulsos nervosos das regiões do corpo até o cérebro, produzir impulsos e coordenar atividades musculares e reflexos
medula espinhal 	responsável por conduzir impulsos nervosos das regiões do corpo até o cérebro, produzir impulsos e coordenar atividades musculares e reflexos
medula oblongo 	parte inferior do tronco cerebral que liga e estabelece a comunicação entre o cérebro e a medula espinhal; o mesmo que bulbo e bulbo raquidiano
medula óssea 	tecido existente no interior dos ossos, também conhecido como tutano, responsável pela produção de células sanguíneas (hemácias, leucócitos e plaquetas); pode ser afetada por algumas infecções, como a tuberculose, e por alguns tipos de câncer
melanina 	pigmento escuro que dá coloração à pele e ao cabelo e também está presente na coroide do globo ocular
melanócito 	célula responsável pela fabricação de pigmento (melanina)
melanona 	tipo de câncer de pele que tem origem nas células produtoras de melanina, substância que determina a cor da pele
melanúria 	presença de melanina na urina
melatonina 	hormônio ligado ao ciclo circadiano, ou seja, a forma como o organismo organiza suas funções quando estamos acordados e durante o sono
melena 	fezes escuras devido à presença de sangue, sinal de hemorragia digestiva alta
membrana celular 	película permeável que envolve a célula
membrana plasmática 	estrutura que isola a célula do ambiente; é uma película muito fina e delicada que "fiscaliza" todas as substâncias e partículas que entram e saem da célula
membro inferior 	quadril, coxas, pernas e pés
membro superior 	braços, antebraços, punhos e mãos
meninge 	três membranas que envolvem e protegem o encéfalo, a medula espinhal e outras partes do sistema nervoso central
meningite 	inflamação das meninges (proteções do sistema nervoso central) causada por bactéria ou vírus
menopausa 	fase da vida em que a mulher para menstruar e de produzir óvulos
mesencéfalo 	a pesquisar
mesilato de rasagilina 	medicamento ver
metabolismo 	reações químicas que acontecem nas células do nosso corpo e que transformam os alimentos em energia
metástase 	quando um câncer se espalha
metoclopramida 	medicamento para náuses e vômitos
mialgia 	dor muscular
miastenia 	fraqueza muscular marcada pela paralisia progressiva que pode afetar qualquer músculo do corpo, mas principalmente os da face, língua, garganta e pescoço 
micção 	urinar, fazer xixi
microalbuminúria 	a pesquisar
micróbio 	organismos muito pequenos, que não se consegue enxergar, como vírus e bactérias
microbioma 	a pesquisar
microbiota intestinal 	conjunto de microrganismos que vive em nosso intestino grosso; quando estão em harmonia ajudam no metabolismo e nas defesas do corpo, quando se desequilibram podem causar doenças; o mesmo que flora intestinal
micróglia 	a pesquisar
micrografia 	a pesquisar
micronutriente 	a pesquisar
microrganismo 	a pesquisar
micro organismo 	a pesquisar
microscópico 	muito pesqueno; visto apenas com um microscópio
microscópio 	aparelho com lentes que permite a pessoa enxergar coisas muito pequenas
mielina 	bainha protetora que cobre os nervos
miocárdio 	músculo que controla as contrações produzidas pelo batimento cardíaco
miocimia 	a pesquisar
mioclonia 	a pesquisar
miologia 	estudo dos músculos
miomatose 	a pesquisar
miopatia 	qualquer doença muscular
miorrexia 	ruptura muscular
miosite 	inflamação de um músculo
miossarcoma 	tumor maligno no músculo
mitocôndria 	partícula envolvida por membrana responsável pela respiração celular, permitindo que a célula obtenha energia dos alimentos absorvidos
molécula 	a menor partícula em que um elemento ou composto pode ser dividido sem mudar suas propriedades químicas e físicas
moléstia 	doença
monoplegia 	paralisia de um membro
